"Product";"Price";"Quantity";"Date"
"Lamp";"2.824,44";2;"2018-11-06"
"Chair";"2.081,20";4;"2018-12-11"
"Teddybear";"2.978,31";3;"2018-01-23"
"Chair";"56,34";1;"2018-12-18"
"Table";"1.661,79";1;"2018-11-11"
"Teddybear";"2.649,57";1;"2018-03-31"
"Chair";"3.551,50";3;"2018-12-29"
"Chair";"343,42";4;"2018-01-07"
"Table";"3.285,14";1;"2018-12-30"
"Table";"801,71";2;"2018-03-23"
"Chair";"2.805,99";2;"2018-07-31"
"Table";"2.041,36";3;"2018-11-05"
"Table";"111,92";3;"2018-03-31"
"Table";"956,86";5;"2018-03-01"
"Chair";"39,99";4;"2018-04-04"
"Lamp";"379,51";1;"2018-06-14"
"Table";"2.462,89";1;"2018-09-06"
"Chair";"3.723,31";5;"2018-09-15"
"Teddybear";"3.175,16";3;"2018-09-19"
"Teddybear";"2.878,39";5;"2018-09-17"
"Table";"2.166,25";2;"2018-06-20"
"Teddybear";"2.781,22";3;"2018-01-30"
"Lamp";"1.180,62";3;"2018-05-20"
"Chair";"1.619,68";5;"2018-11-08"
"Teddybear";"2.095,51";2;"2018-03-01"
"Teddybear";"2.067,12";5;"2018-03-03"
"Chair";"1.300,42";1;"2018-02-28"
"Chair";"2.491,51";2;"2018-05-25"
"Table";"2.760,52";4;"2018-08-21"
"Table";"1.958,09";4;"2018-01-29"
"Chair";"680,00";3;"2018-08-01"
"Lamp";"1.639,60";2;"2018-10-07"
"Table";"3.737,56";1;"2018-07-20"
"Chair";"961,51";3;"2018-08-24"
"Teddybear";"2.615,84";4;"2018-05-18"
"Teddybear";"225,39";5;"2018-03-07"
"Teddybear";"2.281,44";1;"2018-07-22"
"Teddybear";"122,27";2;"2018-04-17"
"Teddybear";"3.438,42";5;"2018-06-29"
"Teddybear";"2.794,88";4;"2018-12-06"
"Lamp";"1.328,54";1;"2018-09-22"
"Teddybear";"271,77";4;"2018-12-04"
"Lamp";"2.525,49";1;"2018-02-24"
"Lamp";"2.017,52";2;"2018-07-10"
"Chair";"460,31";3;"2018-12-04"
"Teddybear";"1.914,41";1;"2018-09-01"
"Chair";"2.412,61";2;"2018-12-14"
"Teddybear";"3.213,48";2;"2018-12-06"
"Lamp";"15,26";1;"2018-02-01"
"Teddybear";"2.003,26";1;"2018-08-28"
"Lamp";"3.414,79";5;"2018-05-06"
"Table";"3.792,26";5;"2018-01-19"
"Teddybear";"740,04";1;"2018-04-22"
"Lamp";"2.492,26";4;"2018-06-21"
"Chair";"3.980,64";1;"2018-11-12"
"Table";"2.080,07";5;"2018-07-17"
"Lamp";"799,13";2;"2018-07-15"
"Chair";"539,00";3;"2018-11-05"
"Table";"886,14";4;"2018-05-17"
"Table";"3.381,76";5;"2018-12-11"
"Lamp";"1.800,07";3;"2018-12-09"
"Lamp";"3.162,24";1;"2018-04-24"
"Teddybear";"374,84";4;"2018-11-04"
"Lamp";"3.874,76";4;"2018-01-22"
"Table";"1.514,53";1;"2018-02-28"
"Teddybear";"376,01";5;"2018-05-02"
"Chair";"2.284,70";4;"2018-10-30"
"Table";"1.276,51";2;"2018-08-13"
"Chair";"1.372,53";2;"2018-11-13"
"Chair";"3.116,41";2;"2018-12-28"
"Table";"1.340,82";4;"2018-08-30"
"Teddybear";"1.831,88";2;"2018-04-06"
"Lamp";"85,68";3;"2018-02-17"
"Lamp";"3.849,28";2;"2018-06-23"
"Lamp";"1.312,15";2;"2018-07-27"
"Teddybear";"2.146,97";3;"2018-03-07"
"Lamp";"3.656,25";5;"2018-08-11"
"Teddybear";"354,71";1;"2018-02-05"
"Lamp";"3.653,52";5;"2018-05-14"
"Table";"2.774,74";4;"2018-11-17"
"Chair";"1.827,83";4;"2018-09-01"
"Table";"3.381,41";3;"2018-09-27"
"Chair";"1.455,40";4;"2018-10-20"
"Table";"2.840,04";1;"2018-04-15"
"Table";"3.917,29";2;"2018-04-10"
"Table";"2.550,42";2;"2018-07-10"
"Lamp";"1.376,14";3;"2018-02-17"
"Chair";"1.713,36";2;"2018-11-09"
"Table";"192,61";2;"2018-09-21"
"Teddybear";"331,08";2;"2018-04-23"
"Table";"2.207,28";3;"2018-01-28"
"Table";"1.499,90";2;"2018-07-15"
"Teddybear";"3.255,57";5;"2018-03-20"
"Chair";"2.980,45";1;"2018-04-18"
"Lamp";"2.564,59";2;"2018-12-08"
"Chair";"1.548,62";1;"2018-07-05"
"Table";"240,61";2;"2018-05-25"
"Teddybear";"3.935,66";1;"2018-10-15"
"Teddybear";"512,21";4;"2018-07-01"
"Chair";"339,56";2;"2018-07-23"
"Chair";"3.720,31";5;"2018-01-14"
"Chair";"992,44";1;"2018-08-21"
"Teddybear";"3.573,65";3;"2018-08-17"
"Teddybear";"1.652,86";3;"2018-09-14"
"Chair";"888,24";5;"2018-10-21"
"Table";"3.556,61";1;"2018-08-10"
"Lamp";"108,79";1;"2018-09-19"
"Chair";"2.814,18";4;"2018-09-12"
"Teddybear";"1.782,71";2;"2018-07-18"
"Chair";"187,76";5;"2018-07-11"
"Teddybear";"3.109,91";3;"2018-08-18"
"Lamp";"2.628,94";3;"2018-09-15"
"Lamp";"3.543,80";1;"2018-01-25"
"Teddybear";"1.996,95";2;"2018-06-07"
"Chair";"1.555,59";3;"2018-01-01"
"Table";"3.894,36";4;"2018-10-22"
"Table";"1.746,00";3;"2018-08-07"
"Table";"28,53";2;"2018-10-04"
"Teddybear";"3.485,65";2;"2018-03-29"
"Teddybear";"3.346,83";4;"2018-06-26"
"Lamp";"2.174,49";4;"2018-01-22"
"Lamp";"3.145,47";5;"2018-10-13"
"Teddybear";"3.033,19";2;"2018-08-23"
"Teddybear";"685,44";2;"2018-01-14"
"Teddybear";"3.413,50";1;"2018-06-23"
"Lamp";"1.237,09";1;"2018-09-27"
"Teddybear";"1.314,72";4;"2018-01-24"
"Chair";"1.681,30";2;"2018-10-24"
"Table";"1.312,83";3;"2018-06-10"
"Lamp";"3.893,62";2;"2018-01-16"
"Teddybear";"1.136,54";4;"2018-05-22"
"Teddybear";"586,69";1;"2018-07-25"
"Table";"2.926,94";2;"2018-07-23"
"Table";"3.308,82";5;"2018-07-04"
"Teddybear";"1.798,19";2;"2018-08-28"
"Lamp";"1.414,86";1;"2018-12-02"
"Lamp";"2.481,16";4;"2018-07-20"
"Lamp";"3.993,30";1;"2018-08-03"
"Teddybear";"2.033,78";1;"2018-08-26"
"Table";"1.069,40";3;"2018-07-03"
"Lamp";"391,32";1;"2018-08-12"
"Chair";"3.214,22";1;"2018-06-03"
"Teddybear";"1.332,80";2;"2018-03-14"
"Teddybear";"2.210,54";1;"2018-07-27"
"Teddybear";"232,26";5;"2018-05-06"
"Teddybear";"3.038,84";2;"2018-02-05"
"Teddybear";"2.095,15";3;"2018-03-10"
"Lamp";"1.124,31";4;"2018-02-21"
"Table";"1.123,74";5;"2018-12-24"
"Chair";"1.847,09";5;"2018-02-17"
"Table";"447,55";1;"2018-12-03"
"Chair";"3.615,35";2;"2018-04-16"
"Teddybear";"1.474,27";2;"2018-08-22"
"Chair";"423,49";1;"2018-07-04"
"Table";"3.387,48";1;"2018-06-13"
"Table";"2.078,97";2;"2018-11-29"
"Lamp";"3.042,39";5;"2018-12-29"
"Lamp";"963,73";1;"2018-02-18"
"Chair";"2.537,37";3;"2018-05-04"
"Lamp";"1.206,68";2;"2018-04-12"
"Table";"1.567,44";5;"2018-11-01"
"Lamp";"1.580,06";1;"2018-09-19"
"Teddybear";"3.193,79";2;"2018-09-30"
"Chair";"1.684,43";5;"2018-02-01"
"Chair";"1.518,80";3;"2018-05-01"
"Chair";"3.465,41";4;"2018-05-03"
"Chair";"403,93";3;"2018-07-15"
"Chair";"1.000,11";1;"2018-06-15"
"Teddybear";"3.524,19";2;"2018-07-19"
"Table";"3.147,42";1;"2018-03-23"
"Chair";"3.864,90";2;"2018-04-06"
"Teddybear";"2.394,22";2;"2018-10-15"
"Table";"814,11";2;"2018-05-06"
"Table";"3.193,98";4;"2018-09-17"
"Teddybear";"1.282,33";5;"2018-11-29"
"Chair";"80,38";1;"2018-04-25"
"Teddybear";"702,63";1;"2018-10-13"
"Teddybear";"2.889,26";4;"2018-10-17"
"Chair";"909,59";1;"2018-11-12"
"Lamp";"3.025,44";2;"2018-12-05"
"Chair";"1.303,96";5;"2018-03-09"
"Lamp";"1.327,64";3;"2018-01-29"
"Lamp";"1.786,09";2;"2018-08-24"
"Chair";"3.524,89";2;"2018-10-16"
"Lamp";"3.056,71";2;"2018-01-01"
"Teddybear";"1.716,04";5;"2018-04-14"
"Table";"2.519,73";2;"2018-07-08"
"Teddybear";"990,33";5;"2018-01-27"
"Lamp";"1.976,11";5;"2018-11-18"
"Chair";"1.141,89";5;"2018-12-07"
"Lamp";"332,69";4;"2018-06-16"
"Teddybear";"2.025,72";2;"2018-01-08"
"Chair";"1.326,10";4;"2018-08-13"
"Lamp";"113,18";3;"2018-12-11"
"Chair";"117,92";4;"2018-12-30"
"Chair";"324,07";5;"2018-02-17"
"Teddybear";"1.794,65";1;"2018-04-05"
"Lamp";"1.775,40";1;"2018-01-21"
"Teddybear";"1.922,48";4;"2018-07-16"
"Table";"1.929,71";4;"2018-03-21"
"Lamp";"1.434,97";3;"2018-07-19"
"Chair";"1.238,20";1;"2018-10-08"
"Table";"105,71";4;"2018-01-29"
"Chair";"556,94";2;"2018-02-13"
"Teddybear";"1.104,94";3;"2018-03-24"
"Teddybear";"3.659,04";5;"2018-01-12"
"Teddybear";"1.470,48";5;"2018-01-19"
"Chair";"2.460,49";2;"2018-03-01"
"Lamp";"1.797,97";4;"2018-05-06"
"Chair";"1.811,12";1;"2018-09-28"
"Teddybear";"1.595,52";4;"2018-12-03"
"Teddybear";"44,86";3;"2018-07-10"
"Teddybear";"3.898,12";5;"2018-09-04"
"Table";"3.604,19";4;"2018-12-03"
"Chair";"3.155,98";2;"2018-06-11"
"Table";"584,93";3;"2018-08-13"
"Table";"2.156,52";5;"2018-11-05"
"Teddybear";"99,15";2;"2018-05-10"
"Lamp";"1.902,06";3;"2018-08-13"
"Table";"1.397,09";4;"2018-07-28"
"Chair";"139,79";1;"2018-09-02"
"Chair";"639,84";1;"2018-10-02"
"Lamp";"2.251,31";1;"2018-10-14"
"Chair";"192,66";4;"2018-02-02"
"Table";"2.747,34";1;"2018-06-20"
"Chair";"1.811,03";1;"2018-11-26"
"Teddybear";"2.278,41";3;"2018-05-12"
"Chair";"2.938,33";3;"2018-05-30"
"Table";"3.028,33";4;"2018-10-15"
"Teddybear";"1.391,22";5;"2018-04-12"
"Lamp";"3.809,94";4;"2018-10-05"
"Chair";"2.778,69";3;"2018-06-20"
"Lamp";"3.417,42";2;"2018-04-11"
"Teddybear";"3.977,12";3;"2018-11-09"
"Lamp";"2.547,05";2;"2018-10-09"
"Lamp";"846,52";5;"2018-03-17"
"Chair";"2.945,05";2;"2018-09-13"
"Teddybear";"2.976,96";5;"2018-05-29"
"Chair";"1.597,33";1;"2018-09-14"
"Table";"567,79";2;"2018-12-14"
"Teddybear";"2.097,56";1;"2018-08-02"
"Teddybear";"1.545,30";2;"2018-03-25"
"Chair";"2.286,12";5;"2018-01-16"
"Teddybear";"2.800,41";2;"2018-04-26"
"Lamp";"2.174,32";1;"2018-06-10"
"Chair";"3.252,09";1;"2018-12-29"
"Table";"2.319,51";1;"2018-07-31"
"Chair";"412,74";5;"2018-06-09"
"Table";"37,83";2;"2018-02-03"
"Teddybear";"2.601,18";1;"2018-03-13"
"Chair";"3.685,97";4;"2018-08-06"
"Table";"2.681,94";4;"2018-02-23"
"Table";"1.385,39";2;"2018-04-01"
"Lamp";"3.573,94";5;"2018-09-06"
"Teddybear";"2.291,19";5;"2018-12-25"
"Lamp";"2.591,17";4;"2018-02-06"
"Table";"317,92";3;"2018-11-13"
"Teddybear";"3.764,63";4;"2018-04-01"
"Table";"2.395,84";4;"2018-12-26"
"Teddybear";"2.979,60";2;"2018-02-17"
"Teddybear";"1.957,87";2;"2018-01-02"
"Lamp";"1.061,25";2;"2018-12-15"
"Teddybear";"2.638,98";2;"2018-09-02"
"Lamp";"3.223,86";1;"2018-02-20"
"Table";"3.527,64";1;"2018-06-13"
"Lamp";"2.058,85";2;"2018-05-31"
"Table";"3.578,71";4;"2018-06-05"
"Chair";"2.235,09";2;"2018-02-16"
"Table";"3.148,47";4;"2018-10-03"
"Lamp";"1.658,32";4;"2018-04-28"
"Chair";"3.741,24";2;"2018-01-18"
"Teddybear";"1.315,72";2;"2018-12-04"
"Teddybear";"3.312,36";1;"2018-01-04"
"Chair";"768,66";3;"2018-03-14"
"Table";"3.819,84";3;"2018-10-13"
"Chair";"8,90";3;"2018-06-19"
"Chair";"1.344,80";4;"2018-02-01"
"Teddybear";"3.246,15";2;"2018-02-27"
"Teddybear";"1.847,18";1;"2018-02-13"
"Table";"2.581,32";4;"2018-03-19"
"Teddybear";"3.480,52";5;"2018-01-30"
"Lamp";"10,60";5;"2018-02-19"
"Lamp";"1.187,17";1;"2018-07-10"
"Lamp";"263,61";2;"2018-07-17"
"Chair";"3.260,77";4;"2018-10-30"
"Teddybear";"3.144,22";3;"2018-03-10"
"Teddybear";"3.602,81";3;"2018-05-10"
"Chair";"41,84";2;"2018-05-27"
"Teddybear";"773,56";3;"2018-04-30"
"Teddybear";"2.960,23";2;"2018-11-02"
"Table";"628,30";3;"2018-06-23"
"Table";"3.836,96";5;"2018-07-12"
"Teddybear";"1.615,34";1;"2018-04-19"
"Lamp";"3.893,01";4;"2018-08-25"
"Table";"2.454,41";5;"2018-06-11"
"Table";"1.122,81";1;"2018-03-24"
"Teddybear";"2.768,37";4;"2018-08-26"
"Chair";"2.080,48";1;"2018-02-07"
"Lamp";"2.852,46";1;"2018-10-28"
"Table";"2.331,83";3;"2018-06-08"
"Table";"995,45";2;"2018-07-20"
"Teddybear";"3.747,65";2;"2018-05-02"
"Teddybear";"537,75";3;"2018-06-01"
"Chair";"3.716,86";5;"2018-06-29"
"Table";"1.262,74";3;"2018-02-27"
"Table";"2.362,79";4;"2018-05-11"
"Teddybear";"1.574,43";3;"2018-11-17"
"Lamp";"202,29";4;"2018-03-16"
"Teddybear";"187,18";4;"2018-09-14"
"Table";"2.909,83";5;"2018-11-14"
"Lamp";"1.898,71";3;"2018-05-22"
"Table";"1.187,03";3;"2018-09-19"
"Lamp";"2.384,83";4;"2018-02-05"
"Teddybear";"2.295,10";2;"2018-02-16"
"Chair";"239,25";4;"2018-07-07"
"Lamp";"2.684,00";2;"2018-05-30"
"Chair";"2.812,22";4;"2018-06-17"
"Chair";"382,93";1;"2018-09-28"
"Teddybear";"421,14";5;"2018-10-19"
"Teddybear";"3.031,66";1;"2018-10-03"
"Lamp";"2.417,99";1;"2018-08-25"
"Lamp";"1.683,69";1;"2018-11-10"
"Table";"3.816,65";5;"2018-12-08"
"Teddybear";"1.838,83";4;"2018-03-18"
"Table";"353,75";5;"2018-10-07"
"Chair";"2.831,32";3;"2018-10-07"
"Table";"3.834,02";4;"2018-06-19"
"Teddybear";"2.171,39";4;"2018-10-17"
"Teddybear";"71,44";3;"2018-10-17"
"Table";"14,50";5;"2018-01-26"
"Chair";"3.395,65";5;"2018-03-09"
"Teddybear";"2.435,32";5;"2018-02-27"
"Chair";"1.342,02";5;"2018-12-16"
"Teddybear";"3.521,13";2;"2018-06-16"
"Teddybear";"3.517,36";5;"2018-01-22"
"Table";"603,23";4;"2018-11-17"
"Table";"1.190,38";2;"2018-09-18"
"Table";"3.479,81";5;"2018-07-13"
"Lamp";"376,61";4;"2018-03-10"
"Table";"2.578,19";2;"2018-06-11"
"Table";"1.291,84";3;"2018-05-09"
"Chair";"2.262,97";3;"2018-09-21"
"Teddybear";"494,93";4;"2018-08-24"
"Teddybear";"793,20";3;"2018-04-25"
"Table";"2.005,76";2;"2018-04-05"
"Chair";"2.010,26";4;"2018-09-13"
"Table";"900,24";1;"2018-02-14"
"Teddybear";"1.935,98";4;"2018-12-22"
"Teddybear";"3.423,05";2;"2018-10-11"
"Chair";"3.218,96";1;"2018-05-07"
"Chair";"2.358,59";4;"2018-04-13"
"Table";"3.929,22";3;"2018-11-28"
"Chair";"2.640,70";1;"2018-02-17"
"Teddybear";"738,75";4;"2018-08-28"
"Table";"1.107,39";4;"2018-12-14"
"Lamp";"1.303,73";3;"2018-05-09"
"Table";"3.851,41";4;"2018-11-27"
"Chair";"2.441,24";2;"2018-12-26"
"Table";"161,51";4;"2018-06-15"
"Lamp";"3.701,05";3;"2018-10-17"
"Lamp";"1.741,25";3;"2018-08-04"
"Teddybear";"3.414,51";2;"2018-09-07"
"Teddybear";"2.011,75";5;"2018-11-18"
"Chair";"3.733,31";5;"2018-11-13"
"Teddybear";"2.344,72";1;"2018-04-26"
"Lamp";"2.953,69";1;"2018-12-23"
"Teddybear";"1.778,40";1;"2018-11-11"
"Table";"1.798,93";1;"2018-07-22"
"Table";"2.700,30";2;"2018-12-15"
"Teddybear";"891,31";2;"2018-03-06"
"Teddybear";"973,30";5;"2018-11-26"
"Teddybear";"3.566,34";5;"2018-12-13"
"Chair";"37,79";2;"2018-04-23"
"Lamp";"957,13";1;"2018-04-19"
"Teddybear";"65,54";1;"2018-02-04"
"Teddybear";"3.445,98";4;"2018-05-20"
"Table";"722,66";5;"2018-01-21"
"Chair";"3.237,22";2;"2018-02-23"
"Chair";"2.068,62";4;"2018-12-27"
"Lamp";"621,60";4;"2018-11-16"
"Chair";"2.593,04";5;"2018-03-07"
"Teddybear";"3.700,12";4;"2018-04-29"
"Lamp";"1.953,73";2;"2018-07-19"
"Table";"3.029,35";4;"2018-04-24"
"Lamp";"533,17";3;"2018-05-18"
"Table";"1.005,49";2;"2018-10-24"
"Chair";"2.144,78";3;"2018-08-03"
"Table";"2.045,75";5;"2018-06-27"
"Teddybear";"2.882,24";3;"2018-12-07"
"Table";"2.824,27";1;"2018-07-22"
"Chair";"1.715,77";4;"2018-08-16"
"Teddybear";"1.323,82";4;"2018-03-14"
"Table";"3.139,43";2;"2018-04-27"
"Table";"3.216,45";1;"2018-08-17"
"Lamp";"1.207,15";2;"2018-03-03"
"Table";"1.201,79";1;"2018-04-02"
"Teddybear";"3.191,80";4;"2018-08-05"
"Chair";"1.058,85";4;"2018-12-30"
"Lamp";"2.964,59";5;"2018-05-25"
"Lamp";"1.297,89";3;"2018-05-14"
"Teddybear";"3.311,70";5;"2018-05-06"
"Chair";"2.255,32";1;"2018-12-15"
"Chair";"3.852,31";4;"2018-09-10"
"Chair";"3.526,03";3;"2018-02-01"
"Table";"1.139,97";1;"2018-12-06"
"Teddybear";"3.656,97";2;"2018-01-25"
"Table";"2.403,11";4;"2018-12-02"
"Table";"3.996,07";5;"2018-04-04"
"Table";"873,96";3;"2018-10-15"
"Lamp";"1.590,05";4;"2018-04-30"
"Lamp";"1.448,57";2;"2018-03-05"
"Chair";"1.217,18";3;"2018-02-16"
"Teddybear";"2.042,77";1;"2018-09-06"
"Table";"3.747,85";3;"2018-04-06"
"Chair";"131,93";1;"2018-06-19"
"Table";"3.450,75";2;"2018-08-25"
"Table";"3.626,91";5;"2018-06-06"
"Chair";"3.875,77";4;"2018-07-31"
"Chair";"2.311,45";1;"2018-10-29"
"Chair";"2.725,14";5;"2018-11-07"
"Chair";"618,20";4;"2018-08-27"
"Teddybear";"1.635,02";1;"2018-10-15"
"Lamp";"3.264,55";3;"2018-05-06"
"Lamp";"2.767,67";4;"2018-01-02"
"Table";"694,61";4;"2018-05-12"
"Lamp";"182,73";4;"2018-12-31"
"Table";"3.768,17";2;"2018-08-23"
"Lamp";"2.487,97";5;"2018-11-12"
"Lamp";"644,41";2;"2018-08-19"
"Teddybear";"386,07";5;"2018-04-05"
"Teddybear";"2.833,16";4;"2018-08-31"
"Teddybear";"1.776,05";5;"2018-05-07"
"Lamp";"2.956,05";1;"2018-09-23"
"Table";"90,98";3;"2018-01-12"
"Table";"2.693,24";1;"2018-01-09"
"Teddybear";"589,71";2;"2018-06-03"
"Lamp";"1.678,57";3;"2018-08-31"
"Teddybear";"1.017,28";2;"2018-12-22"
"Table";"613,73";1;"2018-10-21"
"Chair";"3.735,93";1;"2018-11-10"
"Table";"3.154,42";3;"2018-09-22"
"Lamp";"13,97";2;"2018-12-02"
"Chair";"3.275,49";3;"2018-11-21"
"Chair";"1.811,12";3;"2018-02-25"
"Lamp";"2.758,40";5;"2018-04-13"
"Lamp";"2.515,32";4;"2018-04-28"
"Lamp";"110,90";3;"2018-09-11"
"Teddybear";"2.233,58";5;"2018-10-31"
"Chair";"3.250,64";1;"2018-07-10"
"Chair";"728,15";2;"2018-12-12"
"Teddybear";"2.456,59";4;"2018-01-21"
"Chair";"1.458,54";2;"2018-10-31"
"Chair";"1.964,79";5;"2018-09-05"
"Chair";"1.890,34";2;"2018-11-19"
"Teddybear";"3.783,79";4;"2018-05-07"
"Teddybear";"3.228,49";5;"2018-08-14"
"Lamp";"1.179,38";3;"2018-06-23"
"Lamp";"3.270,98";2;"2018-03-01"
"Teddybear";"1.708,67";1;"2018-09-09"
"Chair";"1.764,00";4;"2018-11-09"
"Table";"2.864,80";2;"2018-10-20"
"Table";"1.682,58";2;"2018-08-03"
"Lamp";"510,02";1;"2018-12-09"
"Lamp";"2.383,76";3;"2018-11-01"
"Chair";"1.151,73";2;"2018-05-10"
"Teddybear";"1.409,51";3;"2018-09-19"
"Chair";"3.603,47";3;"2018-08-04"
"Chair";"3.754,77";4;"2018-08-24"
"Table";"2.866,78";4;"2018-06-17"
"Table";"1.753,81";5;"2018-09-30"
"Teddybear";"178,64";2;"2018-03-06"
"Table";"3.155,91";5;"2018-09-16"
"Teddybear";"2.214,98";4;"2018-12-17"
"Table";"2.210,76";4;"2018-01-11"
"Table";"2.731,09";3;"2018-07-20"
"Table";"1.850,67";3;"2018-02-23"
"Lamp";"3.360,56";5;"2018-08-10"
"Lamp";"535,16";5;"2018-12-04"
"Chair";"1.628,42";3;"2018-02-12"
"Teddybear";"3.737,33";5;"2018-07-10"
"Lamp";"986,63";3;"2018-07-15"
"Lamp";"456,84";1;"2018-01-14"
"Chair";"3.059,70";4;"2018-01-01"
"Chair";"3.199,99";5;"2018-01-02"
"Table";"2.391,96";1;"2018-01-08"
"Lamp";"1.750,74";4;"2018-12-15"
"Chair";"196,76";1;"2018-04-20"
"Teddybear";"3.029,88";1;"2018-06-03"
"Table";"741,20";3;"2018-03-10"
"Table";"174,08";2;"2018-03-21"
"Lamp";"1.313,14";2;"2018-01-13"
"Teddybear";"3.452,36";4;"2018-09-28"
"Chair";"1.405,90";2;"2018-02-14"
"Table";"785,38";1;"2018-11-08"
"Table";"1.255,06";3;"2018-06-26"
"Teddybear";"3.669,95";4;"2018-01-31"
"Chair";"3.964,81";1;"2018-01-03"
"Teddybear";"2.439,52";3;"2018-10-29"
"Teddybear";"3.273,34";1;"2018-08-10"
"Teddybear";"379,52";2;"2018-07-24"
